show,collection_id,pct_sentences_dropped,pct_tokens_dropped,flagged
"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",124960485,0.0033233363054227124,0.0028800977990043977,False
Scott Horton Show - Just the Interviews,545045867,0.002751752604337286,0.0028500119436916716,False
The Rest Is Politics: US,1743030473,0.002976941318936374,0.002791899975790518,False
SGT Report’s The Propaganda Antidote,1502568407,0.002473123706657245,0.002708838354688522,False
The Moment with Jorge Ramos and Paola Ramos,1839861250,0.002201885364343219,0.002529938601254229,False
Raging Moderates with Scott Galloway and Jessica Tarlov,1774505095,0.002548894662026371,0.0023673798833966316,False
"Life, Liberty & Levin Podcast",1818658022,0.002424942263279446,0.002246375389927606,False
Louder with Crowder,929121341,0.0017404016847088308,0.0022389014456906478,False
The Jim Acosta Show,1795032531,0.0021051624324195015,0.0021743800979397102,False
The Kyle Seraphin Show,1654162813,0.0022168637212196638,0.002151303066000592,False
Bad Hasbara - The World's Most Moral Podcast,1721813926,0.0023167545718933307,0.0021362105796734134,False
Bannon`s War Room,1485351658,0.002067641411903707,0.002066901365258884,False
The Reason Roundtable,1155629323,0.0021841214371519056,0.001858052454544758,False
Destiny,1800671132,0.002085694853774654,0.0018044561191769314,False
The Victor Davis Hanson Show,1570380458,0.0014399205561072494,0.0017436791630340018,False
Cleanup on Aisle 45 with AG & Harry Dunn,1549502623,0.001567687200295094,0.0017276196472584596,False
The Necessary Conversation,1640311112,0.0013963150904199163,0.0016858279902719434,False
The Conversation with Dasha Burns,1111319839,0.0020181634712411706,0.0016717214513302838,False
The Josh Hammer Show,1606834013,0.0020545199438765285,0.0016479962567433667,False
GZERO World with Ian Bremmer,1294461271,0.002432794063982484,0.0015836389303238861,False
The Drill Down with Peter Schweizer,1567204040,0.0016067483430407712,0.001502637723774107,False
Bad Faith,1531192509,0.001626928471248247,0.0014484683857666348,False
Face the Nation with Margaret Brennan,78911087,0.0016313213703099511,0.001440565250364905,False
Impolitic with John Heilemann,1529346075,0.0017404145350983597,0.0014041993299647292,False
The TPM Show with Josh and Kate,1351411911,0.0017828716969118116,0.0014034134637149712,False
The Tom Woods Show,716825890,0.0013933326452678296,0.001296010140211207,False
Politics Chat,1873028393,0.0020112941904540885,0.0012563491240800248,False
The Kyle Kulinski Show,1880163995,0.0013772607009532095,0.001255679685173918,False
Ruthless Podcast,1535384390,0.001073558648111332,0.0012059247607812296,False
Owen Report,1843478428,0.0011001100110011,0.0011832349553699971,False
The Breitbart News Daily Podcast,1592116227,0.0010519575557994877,0.001101156619287244,False
Amarica's Constitution,1549624070,0.0011770244821092278,0.0010830458202225988,False
The Playbook Podcast,1169056746,0.0012141280353200883,0.001029337990747106,False
Real Baron Podcast,1865794721,0.0009329002833252712,0.0010130650457625934,False
Human Events Daily with Jack Posobiec,1585243541,0.001518560179977503,0.0010000513860395988,False
Week In Review,1614844654,0.0009639920612418486,0.0009259541519326911,False
I Don't Speak German,1449848509,0.0011037527593818985,0.000894546591245415,False
