guest_key,display_name,n_candidates,reason
allen|arthur|arthur,Arthur Allen,108,"name too common in DIME donor pool (n=108 same-name individuals, no recipient/candidate match) -- not search-tractable"
beck|julie|julie,Julie Beck,55,"name too common in DIME donor pool (n=55 same-name individuals, no recipient/candidate match) -- not search-tractable"
pickering|thomas|thomas,Thomas Pickering,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
rosen|rebecca|rebecca,Rebecca Rosen,35,"name too common in DIME donor pool (n=35 same-name individuals, no recipient/candidate match) -- not search-tractable"
metcalf|stephen|stephen,Stephen Metcalf,33,"name too common in DIME donor pool (n=33 same-name individuals, no recipient/candidate match) -- not search-tractable"
russell|anna|anna,Anna Russell,36,"name too common in DIME donor pool (n=36 same-name individuals, no recipient/candidate match) -- not search-tractable"
sanders|sarah|sarah huckabee,Sarah Huckabee Sanders,67,"name too common in DIME donor pool (n=67 same-name individuals, no recipient/candidate match) -- not search-tractable"
rubin|jennifer|jen,Jen Rubin,45,"name too common in DIME donor pool (n=45 same-name individuals, no recipient/candidate match) -- not search-tractable"
cain|william|will,Will Cain,129,"name too common in DIME donor pool (n=129 same-name individuals, no recipient/candidate match) -- not search-tractable"
walker|russ|russ,Russ Walker,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
roth|carol|carol,Carol Roth,57,"name too common in DIME donor pool (n=57 same-name individuals, no recipient/candidate match) -- not search-tractable"
schultz|thomas|tommy,Tommy Schultz,241,"name too common in DIME donor pool (n=241 same-name individuals, no recipient/candidate match) -- not search-tractable"
mclaughlin|kevin|kevin,Kevin McLaughlin,161,"name too common in DIME donor pool (n=161 same-name individuals, no recipient/candidate match) -- not search-tractable"
cruz|monica|monica de la,Monica De La Cruz,38,"name too common in DIME donor pool (n=38 same-name individuals, no recipient/candidate match) -- not search-tractable"
drucker|david|david,David Drucker,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
rubin|david|dave,Dave Rubin,214,"name too common in DIME donor pool (n=214 same-name individuals, no recipient/candidate match) -- not search-tractable"
brooks|matthew|matt,Matt Brooks,124,"name too common in DIME donor pool (n=124 same-name individuals, no recipient/candidate match) -- not search-tractable"
weissman|andrew|andrew,Andrew Weissman,22,"name too common in DIME donor pool (n=22 same-name individuals, no recipient/candidate match) -- not search-tractable"
bates|andrew|andrew,Andrew Bates,55,"name too common in DIME donor pool (n=55 same-name individuals, no recipient/candidate match) -- not search-tractable"
pape|robert|robert,Robert Pape,33,"name too common in DIME donor pool (n=33 same-name individuals, no recipient/candidate match) -- not search-tractable"
vang|mai|mai,Mai Vang,36,"name too common in DIME donor pool (n=36 same-name individuals, no recipient/candidate match) -- not search-tractable"
wilkerson|larry|larry,Larry Wilkerson,37,"name too common in DIME donor pool (n=37 same-name individuals, no recipient/candidate match) -- not search-tractable"
luis|jose|jose,Jose Luis,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
burr|william|bill,Bill Burr,38,"name too common in DIME donor pool (n=38 same-name individuals, no recipient/candidate match) -- not search-tractable"
murray|douglas|douglas,Douglas Murray,104,"name too common in DIME donor pool (n=104 same-name individuals, no recipient/candidate match) -- not search-tractable"
roth|kenneth|ken,Ken Roth,61,"name too common in DIME donor pool (n=61 same-name individuals, no recipient/candidate match) -- not search-tractable"
