topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show,ci_low_show,ci_high_show,survives_bonferroni_clustered,se_inflation
48,-107.855134158716,9.68299630771055,0.0113860338292567,case evidence story death south trial carolina tyler found we've told week,tyler jen dylan robinson baron blake sheriff micah candace tpusa murdoch sheriff's,False,0.0080758899426255,0.0006343789071694,12.7303884970879,4.7735496390907995e-37,0.0068325072845734,0.0093192726006777,0.0065614111541622,0.0033255758098794,0.0498577275931786,4.3282566798576345e-05,0.013079539741525825,False,5.2422547034518
49,-66.4032633586221,9.95579525799715,0.0205874983018096,media news times story social post york information press reporting read journalists,journalism media journalists outlets journalist post mainstream editorial coverage substack editor newspaper,False,-0.0007346078283468,0.000321418118972,-2.28552089936998,0.0222877919167173,-0.001364587341532,-0.0001046283151615,-0.0009155885896707,0.0008805226942051,0.299664697259158,-0.002641413070312696,0.000810235890971296,False,2.73949302242605
50,-102.713090196333,9.9545414596798,0.0136601567058181,health medical covid care vaccine cancer doctor dr vaccines rfk doctors kennedy,vaccines vaccine measles patients fda cdc autism doctors cancer medicine doctor disease,False,0.0027712038770001,0.0004541525852041,6.10192249759945,1.0581260853594902e-09,0.00188106481,0.0036613429440002,0.003003684459643,0.0012681447708379,0.018800640316804,0.000518120708800716,0.005489248210485284,False,2.792331943388553
51,-97.2131681174972,9.80680532226501,0.0108088832366468,game team sports football games baseball play world year cup great playing,baseball basketball football nba knicks sport olympics soccer espn games championship sports,False,0.000918968214165,0.0003722586220017,2.46862842081002,0.0135675711475449,0.0001893413150416,0.0016485951132884,0.0013255844742305,0.0017100195805666,0.439135845817976,-0.002026053903680036,0.004677222852141036,False,4.593633241781007
52,-78.4706604326478,9.93182266149983,0.0109804986395191,jobs work working workers job labor american class america business americans union,workers jobs wage worker labor wages farmers h- unions workforce employers businesses,False,0.0001391325423008,0.0003085248740557,0.450960535116239,0.652020569981531,-0.0004655762108484,0.0007438412954502,6.25721812082816e-05,0.0006143866244499,0.918980762321499,-0.0011416256027135224,0.0012667699651300855,False,1.9913682043639072
53,-94.7351745682964,9.88620934848847,0.0151957870803799,immigration border illegal immigrants administration ice states united el illegally deportation legal,deported deportation salvador undocumented immigrants immigration deport illegally deportations asylum migrants detention,False,0.00170744468871,0.0004611226688849,3.70279928514222,0.0002135355116972,0.0008036442576955,0.0026112451197245,0.0020510809107204,0.000922438170885,0.0272870665182199,0.0002431020957858001,0.003859059725655,False,2.000418181816275
54,-101.491352613495,9.94436918261069,0.0102557913795638,housing home building live afford build cost affordable rent care costs affordability,housing rent affordable afford affordability grocery homes mortgage apartment property houses groceries,False,-0.0004440963644328,0.000341190347011,-1.30160881843018,0.193058046873093,-0.0011128294445744,0.0002246367157088,-0.000196066870198,0.0009285800741846,0.83298544967259,-0.002016083815599816,0.001623950075203816,False,2.721589524203809
55,-71.6569889853713,9.95322405935842,0.0083650850795274,gaza israel genocide israeli palestinians palestinian hamas west killed palestine bank children,genocide palestinians palestinian settlers palestine cleansing genocidal gaza idf starvation settler civilians,False,-0.0033665832562135,0.0004551903190964,-7.39599045712549,1.43252531434535e-13,-0.0042587562816426,-0.0024744102307844,-0.0034941270320423,0.0015602759724223,0.0262180979645223,-0.006552267937990008,-0.00043598612609459155,False,3.427744191747333
56,-86.1543911619538,9.95329701895424,0.0180350675569123,ice police agents enforcement law crime violence officers shooting minnesota minneapolis shot,minneapolis ice police protesters agents shooting shootings minnesota officers enforcement bovino renee,False,0.002003097064757,0.000470894969716,4.25380858488424,2.10668019415828e-05,0.0010801429241135,0.0029260512054005,0.0021953640121662,0.0010543748234382,0.0385886419244617,0.00012878935822732782,0.004261938666105072,False,2.2390870390356916
57,-143.029159047368,9.95195233583601,0.0075867576861776,data centers center power demand customers stars utility grid customer system level,centers customer data utility customers utilities antitrust grid stars battery brands survey,False,-0.001003941807124,0.0003433897287557,-2.92362212102738,0.0034618892670241,-0.0016769856754853,-0.0003308979387626,-0.0012647463163316,0.0024345460198098,0.603980975783676,-0.006036456515158809,0.0035069638824956084,False,7.089746186152892
58,-71.3096792081378,9.8663000307257,0.0162383702874288,war world american wars states united foreign iraq military policy power middle,wars war iraq afghanistan ii vietnam strategy anti-war conflict conflicts warfare saddam,False,-0.002389069056594,0.0003212526894198,-7.43672857932601,1.0538459131414299e-13,-0.0030187243278569,-0.001759413785331,-0.0028940138822097,0.0011797768076965,0.0150142689664879,-0.00520637642529484,-0.0005816513391245599,False,3.672426244359982
59,-131.129810033646,9.9867415582768,0.0065911489499811,air space plane flying airport flight fly moon traffic planes drones jet,moon airlines airport plane nasa flight planes flying helicopter airports pilots mars,False,0.001191269028841,0.0002849964834212,4.17994290505002,2.92235186461625e-05,0.0006326759213353,0.0017498621363467,0.001410722288504,0.0005307464346286,0.008489983149294,0.0003704592766319442,0.0024509853003760558,False,1.862291170253504
60,-56.5784054409645,9.91927335088151,0.0165846288035987,federal administration government department national executive law state congress trump's agencies order,npr federal executive agencies guard department agency npr's branch orders authority administration's,False,-0.0025292098355637,0.0004139424183533,-6.11005232472924,1.00565677469512e-09,-0.0033405369755362,-0.0017178826955912,-0.0027779665009025,0.0019037345446004,0.146057999346271,-0.006509286208319283,0.0009533532065142841,False,4.5990322812859485
