topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show
15,-104.722482942876,9.9510153105682,0.0062726618715334,jewish jews muslim israel anti-semitism religious muslims anti-semitic jew islam religion holocaust,jews jewish jew anti-semitism muslim muslims islam anti-semitic judaism zionism sharia brotherhood,FALSE,0.00201531905742253,0.000349359586568011,5.76860957851574,8.05481114709781e-09,0.00133057426774923,0.00270006384709583,0.00177891536804429,0.00134491710306277,0.187432257290466
16,-68.7761155881231,9.92455585506798,0.0207239309311921,case judge attorney justice department jury court criminal general doj cases evidence,indictment jury prosecution prosecutors prosecutor comey judge attorney's attorneys attorney letitia indict,FALSE,-0.00587040405369437,0.000609660122809938,-9.62897823567259,6.3913854604867e-22,-0.00706533789440185,-0.00467547021298689,-0.00709917360860623,0.00377510180196766,0.0614755934526554
17,-52.2314854028337,9.96559882975535,0.0253262063083602,democrats party voters republicans republican vote election democratic win poll polling polls,poll polling voters polls swing democrats independents electorate rating approval republicans midterms,FALSE,0.000294114316471561,0.000419587741459011,0.700960222166768,0.483332138635908,-0.000528277656788101,0.00111650628973122,0.000531085802457022,0.00192735641054067,0.783174294171507
18,-77.6514829644544,9.93825131442231,0.00885891296572845,oil gas prices strait iran gulf saudi price war hormuz energy ships,oil saudi gulf gallon arabia gas strait tankers barrel crude ships hormuz,FALSE,-0.000986406044048667,0.000368084908184853,-2.67983289212524,0.00736907141560303,-0.00170785246409098,-0.000264959624006355,-0.000922142286017664,0.000834696608607666,0.270576282995979
19,-116.06957510705,9.92392427272402,0.00646190577810122,corruption peter harvard government universities firms university firm money eric research corrupt,corruption peter harvard schweitzer universities firms firm thiel columbia institute donations donor,FALSE,0.000786785891171949,0.00023984216066039,3.28043196828107,0.00103741693788495,0.000316695256277585,0.00125687652606631,0.000966549971283842,0.000907534114595594,0.288134279782294
20,-90.3492578434055,9.93045128057141,0.00785248939715435,energy climate wind clean change industry administration power projects gas solar project,climate coal offshore energy fossil epa fuels environmental wind emissions projects solar,FALSE,-0.00177041275035817,0.00032775183932045,-5.40168669695,6.6413565800325e-08,-0.00241280635542625,-0.00112801914529009,-0.00189572623595176,0.0029399860434347,0.519783296263272
21,-111.361841568267,9.92361266216668,0.00748128319701253,british uk germany hitler german france britain london party prime french minister,labour keir starmer uk german churchill farage mosley ireland brexit nigel britain,FALSE,0.00033272982103532,0.000347098408116811,0.958603707924078,0.337764532409688,-0.00034758305887363,0.00101304270094427,0.000419091149473576,0.00130455149346883,0.748350776352369
22,-68.8354316791872,9.9649875101648,0.0147980875770982,ukraine russia putin russian war russians zelensky nato ukrainian ukrainians peace vladimir,ukrainian zelensky putin ukraine russia's russian ukraine's ukrainians russians russia vladimir putin's,FALSE,-0.00284630234781889,0.000488582193444648,-5.82563668100882,5.73537949071251e-09,-0.0038039234469704,-0.00188868124866738,-0.00326060472827702,0.00276031907835092,0.238895486915892
23,-60.9424285317239,9.87578664928223,0.0210966811180634,house white press trump's donald room meeting day office moment asked question,oval press cabinet dinner conference steve room meeting caroline susie reporter house,FALSE,-0.00426294845272572,0.000394497505265545,-10.8060213203534,3.53127989352443e-27,-0.00503616356304619,-0.00348973334240525,-0.00430364581639483,0.00163069717878583,0.00895983967245437
24,-41.638562676616,9.78828281851989,0.0390643456087702,fucking man love shit let's yes let bad i'll tell god everybody,fucking fuck dude shit blah ain't dog ass y'all bro stupid fucked,TRUE,0.00448229992928494,0.000488910117592953,9.16794267083816,5.05628143595562e-20,0.00352403609880275,0.00544056375976713,0.00678379250455856,0.00377790484202261,0.0740448992519216
