show_id,llm_density,n_labelled,words_labelled
597919007,0.9262143100570115,1400.0,173123.0
682478916,0.7799322145776739,1320.0,157556.0
702998658,0.7415667919532893,680.0,84606.0
716825890,0.7477869888998173,800.0,99638.0
73329719,0.49443210672525095,1040.0,125631.0
73330715,0.6875657404890502,1400.0,169226.0
73331636,0.7081038733611373,360.0,43399.0
75462585,0.31349716210316225,1301.0,160330.0
78911087,0.9003255373131692,1400.0,169873.0
791564318,0.8532833497859146,1400.0,165121.0
91959525,0.9244501225786402,240.0,28961.0
925428680,0.8741348086762353,1400.0,170627.0
929121341,0.7263516347105498,1400.0,178839.0
956270301,0.8383015979845025,1400.0,167899.0
969924303,0.7316629869335493,1400.0,171661.0
983782306,0.7804094098049057,760.0,93647.0
