show_id,nw,imp_other,imp_all,you_deontic,you_all,imp_attention,you_other,you_know,imp_action,imp_epistemic,you_addressive,imp_other_rate,imp_all_rate,you_deontic_rate,you_all_rate,imp_attention_rate,you_other_rate,you_know_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate
1253076699,76890,208,649,208,2826,70.0,2181,349,334,37.0,88.0,27.051632201846797,84.4062947067239,27.051632201846797,367.5380413577838,9.103914683313825,283.65197034724935,45.38951749252179,43.438678631811676,4.812069189751593,11.444921316165953
1258635512,73893,154,382,90,1566,43.0,1110,347,163,22.0,19.0,20.840945691743467,51.69637178081821,12.179773456213715,211.92805813811864,5.819225095746552,150.21720595996914,46.95979321451288,22.05892303736484,2.9772779559633524,2.5712855074228953
1263295815,70452,136,319,53,1720,37.0,780,881,132,14.0,6.0,19.303923238517005,45.27905524328621,7.522852438539715,244.13785272242094,5.251802645773008,110.71367739737693,125.04967921421677,18.73616079032533,1.9871685686708682,0.8516436722875149
1265845136,73175,160,405,129,1772,37.0,1325,299,190,18.0,19.0,21.865391185514177,55.34677143833276,17.628971643320806,242.15920737956952,5.056371711650154,181.07277075503927,40.86094977792962,25.965152032798084,2.4598565083703448,2.5965152032798087
1289062927,72074,119,296,133,1636,25.0,958,536,133,19.0,9.0,16.510808335877016,41.06890140688737,18.45325637539196,226.98892804617475,3.4686572134195415,132.9189444182368,74.36801065571495,18.45325637539196,2.636179482198851,1.2487165968310348
1291144720,74386,108,290,145,1933,36.0,1158,624,126,20.0,6.0,14.518861076008927,38.985830667061,19.4929153335305,259.8607264807894,4.8396203586696425,155.67445487054016,83.88675288360714,16.938671255343746,2.68867797703869,0.806603393111607
1294461271,71613,135,319,104,1410,37.0,1025,265,129,18.0,16.0,18.851325876586653,44.54498484911957,14.522502897518608,196.89162582212725,5.16665968469412,143.1304372111209,37.00445449848491,18.01348917096058,2.5135101168782206,2.2342312150028625
1303660358,72591,192,582,123,1596,83.0,1126,326,258,49.0,21.0,26.44955986279291,80.175228334091,16.94424928710171,219.86196635946604,11.433924315686516,155.11564794533757,44.90914851703379,35.54159606562797,6.750148089983607,2.8929206099929745
1309354521,73781,166,488,137,1851,47.0,1295,397,237,38.0,22.0,22.49901736219352,66.14168959488215,18.568466136268142,250.8775972133747,6.370203710982502,175.51944267494343,53.807890920426665,32.12209105325219,5.150377468453938,2.9817974817364905
1314170606,73207,135,354,64,1361,45.0,1044,220,149,25.0,33.0,18.440859480650758,48.35603152703976,8.742333383419618,185.9111833567828,6.14695316021692,142.60931331703253,30.051771005504936,20.353244908273798,3.414973977898289,4.507765650825741
1314368109,74057,162,464,85,1479,58.0,1127,239,222,22.0,28.0,21.875042197226463,62.654441848846155,11.477645597310179,199.7110333931971,7.831805231105769,152.18007750786558,32.27243879714274,29.976909677680705,2.970684742833223,3.780871490878648
1317356120,75067,194,496,210,2097,60.0,1520,353,207,35.0,14.0,25.843579735436343,66.07430695245581,27.975008991967176,279.35044693407224,7.992859711990622,202.4857793704291,47.024657972211486,27.575366006367645,4.662501498661196,1.8650005994644785
1317481380,72030,162,426,101,1405,52.0,967,311,184,28.0,26.0,22.490628904623073,59.142024156601416,14.021935304734138,195.05761488268777,7.219214216298765,134.2496182146328,43.17645425517146,25.544911842287934,3.8872691933916426,3.6096071081493823
