show_id,show,publisher,hours,host,n_hosts,n_hosts_scored,coverage,avg_host_cfscore,host_cfscore_detail
1606834013,The Josh Hammer Show,The Josh Hammer Show,25.23,Josh Hammer,1.0,1.0,full,1.2273,Josh Hammer=1.227
1820648828,The Joy Reid Show,Joy-Ann Reid,25.42,Joy Reid,1.0,1.0,full,-0.572,Joy Reid=-0.572
1809246826,The Keith Edwards Show,Keith Edwards,25.01,Keith Edward,1.0,0.0,none,,Keith Edward=NA
1880163995,The Kyle Kulinski Show,Kyle Kulinski,26.19,Kyle Kulinski,1.0,1.0,full,-0.943,Kyle Kulinski=-0.943
1654162813,The Kyle Seraphin Show,Kyle Seraphin,26.94,Kyle Seraphin,1.0,0.0,none,,Kyle Seraphin=NA
1368074498,The Lars Larson Show Pacific Northwest Podcast,Lars Larson,25.58,Lars Larson,1.0,1.0,full,1.425,Lars Larson=1.425
1551582052,The Lincoln Project,The Lincoln Project,25.3,Rick Wilson,1.0,0.0,none,,Rick Wilson=NA
402306412,The Majority Report with Sam Seder,Sam Seder,26.34,Sam Seder,1.0,1.0,full,-0.999,Sam Seder=-0.999
1785081636,The Mary Trump Podcast,Mary Trump Media,25.43,Mary Trump,1.0,0.0,none,,Mary Trump=NA
1510240831,The MeidasTouch Podcast,MeidasTouch Network,25.26,"Ben Meiselas, Brett Meiselas, and Jordan Meiselas",3.0,2.0,partial,-0.995,Ben Meiselas=-0.934; Brett Meiselas=-1.056; Jordan Meiselas=NA
1587492577,The Mel K Show,Mel K,25.74,Melody Krell,1.0,1.0,full,0.537,Melody Krell=0.537
1253076699,The Michael Berry Show,KTRH (KTRH-AM),25.45,Michael Berry,1.0,1.0,full,0.405,Michael Berry=0.405
1839861250,The Moment with Jorge Ramos and Paola Ramos,iHeartPodcasts,25.46,Jorge Ramos and Paola Ramos,2.0,1.0,partial,-1.021,Jorge Ramos=-1.021; Paola Ramos=NA
1482179882,The Mona Charen Show,The Bulwark,25.43,Mona Charen,1.0,1.0,full,1.432,Mona Charen=1.432
1060110806,The Nation Podcasts,The Nation Magazine,25.15,"Jon Wiener, Dave Zirin, and Jeet Heer",3.0,0.0,none,,Jon Wiener=NA; Dave Zirin=NA; Jeet Heer=NA
1640311112,The Necessary Conversation,The Necessary Conversation,25.01,"Chad Kultgen, Haley Popp, Mary Lou Kultgen, Bob Kultgen",4.0,3.0,partial,-0.0776666666666666,Chad Kultgen=-1.011; Haley Popp=-0.881; Mary Lou Kultgen=1.659; Bob Kultgen=NA
1050430296,The New Yorker Radio Hour,WNYC Studios and The New Yorker,25.17,David Remnick,1.0,0.0,none,,David Remnick=NA
