show,extracted_host,host_source,match_confidence,publisher,notes
The Arena,Father Josiah Trenham,ITUNES_AUTHOR,high,Father Josiah Trenham,
The Reason Roundtable,,UNKNOWN,none,The Reason Roundtable,
Batya!,Batya,ITUNES_AUTHOR,high,Batya,
The Breitbart News Daily Podcast,Breitbart News Daily,PARSED_FROM_TITLE,low,SiriusXM,
The Keith Edwards Show,Keith Edwards,ITUNES_AUTHOR,high,Keith Edwards,
The Nation Podcasts,,PUBLISHER_ONLY,none,The Nation Magazine,publisher-only fields: The Nation Magazine
Week In Review,Information,ITUNES_AUTHOR,high,KUOW News and Information,
Hood Politics with Prop,Prop,PARSED_FROM_TITLE,medium,Cool Zone Media and iHeartPodcasts,
Timothy Gordon Rules for Retrogrades Podcast,Timothy Gordon,ITUNES_AUTHOR,high,Timothy Gordon,
The Drill Down with Peter Schweizer,Peter Schweizer,PARSED_FROM_TITLE,medium,Government Accountability Institute,
What's The Plan? with Leah Greenberg and Ezra Levin,Leah Greenberg,PARSED_FROM_TITLE,medium,Indivisible,
What's The Plan? with Leah Greenberg and Ezra Levin,Ezra Levin,PARSED_FROM_TITLE,medium,Indivisible,
Extremely American,,PUBLISHER_ONLY,none,NPR,publisher-only fields: NPR
Week In Review,,PUBLISHER_ONLY,none,FITSNews,publisher-only fields: FITSNews
Brad vs Everyone,,PUBLISHER_ONLY,none,iHeartPodcasts,publisher-only fields: iHeartPodcasts
Essential Minnesota,,PUBLISHER_ONLY,none,Minnesota Star Tribune,"publisher-only fields: Minnesota Star Tribune, The Minnesota Star Tribune"
Seattle Nice,David Hyde,ITUNES_AUTHOR,high,"David Hyde, Erica Barnett, and Sandeep Kaushik",
Seattle Nice,Erica Barnett,ITUNES_AUTHOR,high,"David Hyde, Erica Barnett, and Sandeep Kaushik",
Seattle Nice,Sandeep Kaushik,ITUNES_AUTHOR,high,"David Hyde, Erica Barnett, and Sandeep Kaushik",
The Lars Larson Show Pacific Northwest Podcast,Lars Larson,ITUNES_AUTHOR,high,Lars Larson,
Destiny,,UNKNOWN,none,Destiny,
The Nerd Reich,,UNKNOWN,none,nerdreich,
The Buck Sexton Show,Buck Sexton,PARSED_FROM_TITLE,low,Premiere Networks,
The Reason Interview With Nick Gillespie,Nick Gillespie,PARSED_FROM_TITLE,medium,The Reason Interview With Nick Gillespie,
Get Angry,Bryan Andrews,ITUNES_AUTHOR,high,"Bryan Andrews, ItsLuke",
Get Angry,ItsLuke,ITUNES_AUTHOR,high,"Bryan Andrews, ItsLuke",
The Josh Hammer Show,Marcus Brown,ITUNES_OWNER,medium,The Josh Hammer Show,"owner value 'Marcus Brown' repeats across 2 shows in corpus -- likely a shared feed admin/producer contact, not verified as this show's host"
Mea Culpa,,PUBLISHER_ONLY,none,Michael Cohen,publisher-only fields: Podcast WABCRadio
The Moment with Jorge Ramos and Paola Ramos,Jorge Ramos,PARSED_FROM_TITLE,medium,iHeartPodcasts,
The Moment with Jorge Ramos and Paola Ramos,Paola Ramos,PARSED_FROM_TITLE,medium,iHeartPodcasts,
"Mueller, She Wrote - When the Facts Were Fresh",Allison Gill,ITUNES_OWNER,high,MSW Media,
I Don't Speak German,,UNKNOWN,none,IDSG,
Candace Owens,,PUBLISHER_ONLY,none,The Daily Wire,publisher-only fields: The Daily Wire
Countdown with Keith Olbermann,Keith Olbermann,PARSED_FROM_TITLE,medium,iHeartPodcasts,
The Mona Charen Show,Mona Charen,PARSED_FROM_TITLE,low,The Bulwark,
Russian Roulette,International Studies,ITUNES_AUTHOR,high,Center for Strategic and International Studies,
Uncertain with DL Hughley,DL Hughley,ITUNES_AUTHOR,high,DL Hughley,
Politix,,UNKNOWN,none,Politix,
The TPM Show with Josh and Kate,Josh,PARSED_FROM_TITLE,medium,Talking Points Memo,
The TPM Show with Josh and Kate,Kate,PARSED_FROM_TITLE,medium,Talking Points Memo,
