show_id,show,publisher,hours,host
1138657182,Liberty Lockdown,Clint Russell,25.58,Clint Russell
1818658022,"Life, Liberty & Levin Podcast",FOX News Podcasts,25.14,Mark Levin
929121341,Louder with Crowder,Louder with Crowder,25.79,Steven Crowder
1671451793,Maiden Mother Matriarch with Louise Perry,Louise Perry,26.44,Louise Perry
1679657705,Main Justice,"MS NOW, Andrew Weissmann, Mary McCord",25.04,Andrew Weissmann and Mary McCord
1309354521,Majority 54,Majority 54,25.26,Jason Kander and Ravi Gupta
1506127536,Making the Argument with Nick Freitas,Nick Freitas,27.54,Nick Freitas
1607829807,Mark Kaye Saves The Republic,Kayetriot Media,25.25,Mark Kaye
1714009198,Mea Culpa,Michael Cohen,25.55,Michael Cohen
1728340033,Mission Implausible,iHeartPodcasts,25.66,John Sipher and Jerry O'She
1568505052,MOATS with George Galloway,Molucca Media Ltd,26.08,George Galloway
75462585,NBC Nightly News with Tom Llamas,NBC News,25.14,Tom Llamas
1452065072,Newt's World,Gingrich 360,25.01,Newt Gingrich
1810218232,Next Up with Mark Halperin,MK Media,25.48,Mark Halperin
1767877239,No Gods No Mayors,The Office of the Mayor,25.23,"Mattie Lubchansky, Riley Quinn, and November Kelly"
1515399733,No Lie with Brian Tyler Cohen,Brian Tyler Cohen,25.46,Brian Tyler Cohen
1889705401,Nobody Knows Anything,Narrowcast Media,25.82,Franklin Leonard
73330715,On the Media,WNYC Studios,25.39,Brooke Gladstone and Micah Loewinger
1147092464,Opening Arguments,Opening Arguments Media LLC,25.38,Thomas Smith and Matt Cameron
1843478428,Owen Report,Owen Shroyer,25.41,Owen Shroyer
1877144831,Paul Krugman Podcast,Paul Krugman,25.25,Paul Krugman
1702202187,Perino on Politics,FOX News Podcasts,25.35,Dana Perino
1818418128,Pod Force One,New York Post,26.12,Miranda Devine
1192761536,Pod Save America,Pod Save America,26.04,"Jon Favreau, Tommy Vietor, Jon Lovett, and Dan Pfeiffer"
1200016351,Pod Save the World,Pod Save the World,26.28,Tommy Vietor and Ben Rhodes
158004641,Political Gabfest,Slate Podcasts,25.33,"Emily Bazelon, John Dickerson, and David Plotz"
1356662668,Politically Georgia,The Atlanta Journal-Constitution,25.82,"Greg Bluestein, Tia Mitchell, and Patricia Murphy"
