review_id,show_id,rating,n_cats,connection,companionship,direct_address,emotion,loyalty,praise_person,praise_content,agreement,anti_media,hostility,disagreement
10903551834,1654162813,5,4,0,0,0,1,0,1,1,1,0,0,0
11151655171,1490993194,5,2,0,0,0,0,0,1,1,0,0,0,0
12437637641,1378389941,5,2,0,0,0,1,0,0,1,0,0,0,0
8427655231,1452065072,5,7,1,1,1,1,1,1,0,1,0,0,0
5041073371,969924303,5,1,0,0,0,0,0,0,1,0,0,0,0
13074996412,1057255460,2,5,0,0,0,0,1,0,1,1,1,0,1
11717882383,1725387804,5,2,0,0,0,0,0,0,0,1,0,1,0
12284247766,1795032531,5,6,0,0,1,1,0,1,1,1,1,0,0
5411728785,1408796715,5,2,0,0,1,1,0,0,0,0,0,0,0
9459971085,1515399733,5,2,0,0,1,1,0,0,0,0,0,0,0
1649037022,124960485,5,1,0,0,0,0,0,0,1,0,0,0,0
8111940058,1576614213,5,2,0,0,0,0,0,0,1,0,1,0,0
3865295602,91959525,4,3,0,1,1,0,0,0,1,0,0,0,0
13238061662,1138657182,5,5,1,0,1,1,1,0,1,0,0,0,0
13842488911,1367201919,1,4,0,1,0,1,1,0,1,0,0,0,0
13780881249,1579061364,5,7,0,0,1,1,1,1,1,1,1,0,0
10239789505,1484862164,5,2,0,0,0,0,0,0,1,1,0,0,0
13573310619,1548554104,5,1,0,0,0,0,0,0,1,0,0,0,0
13921079419,1584730781,1,1,0,0,0,0,0,0,0,0,0,0,1
12090912210,1536169792,5,1,0,0,0,0,0,0,1,0,0,0,0
14032865466,1570045623,1,1,0,0,0,0,0,0,0,0,0,1,0
6199854187,1309354521,5,3,1,0,1,1,0,0,0,0,0,0,0
13101554026,1169056746,2,3,0,0,0,0,0,0,0,0,1,1,1
11867055961,1535384390,5,3,0,0,1,1,0,0,1,0,0,0,0
10595101183,1679657705,5,4,0,0,0,1,1,1,1,0,0,0,0
14194727683,597919007,5,2,0,0,0,1,0,0,0,1,0,0,0
11000082916,545045867,5,1,0,0,0,0,0,0,0,1,0,0,0
14426981107,1730358737,5,1,0,0,0,0,0,0,0,0,0,1,0
7029979569,1471411980,5,2,0,0,1,0,0,0,1,0,0,0,0
10927274880,1147092464,5,1,0,0,0,0,0,0,1,0,0,0,0
10660579311,1452065072,4,1,0,0,0,0,0,0,1,0,0,0,0
11238445873,1634341981,1,2,0,0,0,0,1,0,1,0,0,0,0
10787670449,1452065072,2,3,0,0,0,1,0,1,1,0,0,0,0
12714292509,1314170606,5,1,0,0,0,0,0,0,0,1,0,0,0
13484988197,1570045623,1,2,0,0,1,0,0,0,0,0,0,1,0
7685460051,1303660358,1,1,0,0,0,0,0,0,0,0,0,1,0
11016997665,1721813926,5,4,0,0,0,1,0,1,0,1,1,0,0
7461611609,1494037881,5,1,0,0,0,0,0,0,1,0,0,0,0
10269813808,1635418897,5,3,0,0,1,0,0,0,1,0,0,0,1
14223138047,1535384390,5,1,0,0,0,0,0,0,0,0,0,1,0
8688401375,1057255460,5,1,0,0,0,0,0,0,1,0,0,0,0
8740135343,1452065072,5,3,0,0,1,0,0,1,1,0,0,0,0
14191137017,1896897095,5,2,0,0,1,1,0,0,0,0,0,0,0
7988231879,1057255460,2,2,0,0,0,0,0,0,1,0,0,0,1
13914625481,1408796715,5,1,0,0,0,0,0,1,0,0,0,0,0
12267650895,1265845136,2,2,0,0,1,1,0,0,0,0,0,0,0
7719384187,1484862164,1,1,0,0,0,0,0,0,0,0,0,0,1
4848662,91959525,3,2,0,0,0,0,0,0,0,0,1,0,1
7508852176,1474001390,1,1,0,0,0,0,0,0,0,0,0,1,0
7357117255,1467993804,1,2,0,0,0,0,0,0,0,0,0,1,1
5579383450,969924303,5,3,0,0,1,1,0,0,1,0,0,0,0
8111600675,1474001390,5,1,0,0,0,0,0,0,0,1,0,0,0
6124614546,1309354521,5,2,0,0,1,1,0,0,0,0,0,0,0
9860286260,1072469956,5,2,0,0,1,0,0,1,0,0,0,0,0
12195660076,1317481380,5,3,0,0,1,1,0,0,1,0,0,0,0
9559090671,1484862164,5,2,0,0,0,1,0,1,0,0,0,0,0
7699951583,1317356120,5,2,0,0,0,0,0,1,1,0,0,0,0
13352456156,1785081636,5,3,0,0,0,1,0,1,1,0,0,0,0
8073566355,1314368109,5,2,0,0,0,0,0,1,0,0,1,0,0
14449513270,1447684472,5,4,0,0,1,1,0,0,1,1,0,0,0
11197068487,1725442221,5,2,0,0,0,0,0,1,1,0,0,0,0
242122486,91959525,1,2,0,0,0,0,0,1,0,0,0,1,0
11647435931,1586423406,5,1,0,0,0,0,0,0,1,0,0,0,0
3061743681,1408796715,5,4,0,0,1,1,0,1,1,0,0,0,0
13538860659,1805186512,5,5,0,0,1,1,0,0,1,1,1,0,0
6933659836,1093260018,4,4,0,0,1,1,1,0,0,1,0,0,0
